submission_date,new_case,new_death,Admin_Dose_1_Daily,Administered_Dose1_Pop_Pct,Series_Complete_Daily,Series_Complete_Pop_Pct,Booster_Daily,Additional_Doses_Vax_Pct,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips >=500
2021-11-19,2437,23,50886.0,139.1,10209.0,109.0,39273.0,24.8,1879711.0,8608373.0,45514886.0,26112.0
2021-11-20,2114,17,43596.0,139.5,7638.0,109.1,26585.0,25.200000000000003,1922280.0,8565804.0,42614758.0,23992.0
2021-11-21,1637,19,24102.0,139.7,3571.0,109.1,8125.0,25.4,2089229.0,8398855.0,35339543.0,26616.0
2021-11-22,1296,20,36031.0,140.0,6134.0,109.19999999999999,20399.0,25.700000000000003,1939602.0,8548482.0,43649174.0,23729.0
2021-11-23,1745,18,36722.0,140.39999999999998,6406.0,109.19999999999999,23780.0,26.1,1924826.0,8563258.0,44297961.0,23911.0
2021-11-24,2294,20,84152.0,141.2,19775.0,109.5,29997.0,26.6,1844238.0,8643846.0,47374684.0,26750.0
2021-11-25,2244,14,92.0,141.2,61.0,109.5,44.0,26.6,1842694.0,8645390.0,47445788.0,27928.0
2021-11-26,1566,20,19768.0,141.4,5138.0,109.5,8105.0,26.700000000000003,1902384.0,8585700.0,43815021.0,26696.0
2021-11-27,1072,18,13621.0,141.5,6572.0,109.6,4697.0,26.8,1890894.0,8597190.0,44937809.0,26245.0
2021-11-28,1544,28,9092.0,141.60000000000002,5181.0,109.6,3028.0,26.8,1942179.0,8545905.0,44098331.0,26886.0
2021-11-29,1609,16,74111.0,142.4,22223.0,109.80000000000001,44656.0,27.5,1908186.0,8579898.0,45244664.0,26885.0
2021-11-30,2430,12,55843.0,142.89999999999998,27042.0,110.0,64262.0,28.6,1967003.0,8521081.0,42438177.0,25963.0
2021-12-01,3394,15,41372.0,143.2,19827.0,110.19999999999999,33391.0,29.1,1926486.0,8561598.0,42390798.0,25272.0
2021-12-02,3856,19,50743.0,143.7,23084.0,110.5,42416.0,29.700000000000003,1889606.0,8598478.0,45028868.0,25951.0
2021-12-03,3784,17,52954.0,144.2,26515.0,110.7,45603.0,30.4,1855379.0,8632705.0,45992340.0,26655.0
2021-12-04,3260,21,64811.0,144.89999999999998,32978.0,111.0,31293.0,30.9,1889683.0,8598401.0,43567698.0,26256.0
2021-12-05,2504,22,23175.0,145.10000000000002,8184.0,111.1,9636.0,31.099999999999998,1998308.0,8489776.0,39351507.0,27867.0
2021-12-06,2019,20,32115.0,145.4,11560.0,111.2,19734.0,31.4,1906342.0,8581742.0,45076390.0,25726.0
2021-12-07,2668,21,53721.0,145.89999999999998,36258.0,111.6,51706.0,32.2,1894709.0,8593375.0,46095042.0,26095.0
2021-12-08,3294,15,43380.0,146.3,18094.0,111.7,34594.0,32.8,1862153.0,8625931.0,46443971.0,25973.0
2021-12-09,4181,27,45981.0,146.8,21002.0,111.9,39950.0,33.400000000000006,1896908.0,8591176.0,44269618.0,25200.0
2021-12-10,3679,29,48430.0,147.2,21561.0,112.1,39873.0,34.0,1850638.0,8637446.0,46497625.0,26540.0
2021-12-11,3363,16,67943.0,147.9,24242.0,112.4,28107.0,34.4,1874705.0,8613379.0,42420304.0,24345.0
2021-12-12,2690,18,20556.0,148.1,5377.0,112.4,8637.0,34.6,2020822.0,8467262.0,39224704.0,23631.0
2021-12-13,1964,17,28282.0,148.39999999999998,8290.0,112.5,17356.0,34.8,1934158.0,8553926.0,42740939.0,24674.0
2021-12-14,2922,28,36460.0,148.7,15243.0,112.7,24018.0,35.1,1916634.0,8571450.0,44518608.0,25099.0
2021-12-15,3822,34,39734.0,149.10000000000002,14922.0,112.80000000000001,30536.0,35.6,1827417.0,8660667.0,46051910.0,24970.0
2021-12-16,4183,24,60374.0,149.7,28446.0,113.1,57758.0,36.5,1872727.0,8615357.0,43708693.0,23959.0
