state,tot_cases,new_case,tot_death,new_death
VA,"939,783","1,407","14,261",36
OR,"685,953",0,"6,456",0
MN,0,0,0,0
IL,"199,893","1,645","7,881",15
OR,"684,411","1,845","6,444",28
NV,"422,329","1,010","7,166",16
VI,"2,036",5,23,0
CT,"53,782",417,"4,474",6
NV,"235,455","2,423","3,235",29
MD,"996,182",854,"13,988",7
VA,"153,691",509,"3,303",12
VI,"9,055",330,89,1
MI,0,0,0,0
NE,"479,545",152,"4,197",0
NV,"633,955","3,612","8,797",37
AZ,"222,658",605,"5,733",20
VA,"1,351,417","17,219","15,803",18
CT,"155,462","1,470","5,466",22
IL,"841,688","8,737","15,232",165
CA,"9,177,609",0,"89,255",0
VA,"79,371",996,"2,048",17
NH,"279,842","1,151","2,239",7
NE,"21,863",239,291,5
CA,"11,220,161","5,733","95,009",0
DC,"158,073",770,"1,351",0
NV,"217,509","1,856","2,952",8
ME,"100,012",565,"1,113",4
MO,"557,125",699,"8,656",11
MT,"179,770",790,"2,405",9
VI,"20,960",32,118,0
CA,"8,742,232","39,312","80,912",272
WI,"138,002","3,054","1,383",20
DC,"17,266",122,646,0
NC,"2,668,088","1,516","25,111",5
WY,980,10,18,1
ME,"2,574",19,99,0
VT,"1,583",3,57,0
MD,"58,404",431,"2,902",27
DE,"296,992",802,"3,026",0
VT,"4,789",61,91,2
VA,"63,203",416,"1,786",23
SC,"129,673","1,154","2,893",33
WI,989,0,13,0
NE,"487,599",495,"4,290",2
ME,"3,110",52,103,0
KY,"1,374,442","1,626","16,320",6
DE,"143,685",296,"2,186",3
VA,"139,655",953,"2,990",41
OR,"341,113","1,557","3,982",23
VT,"131,746",80,685,0
OR,"83,243","1,806","1,027",24
WY,"61,776",72,740,6
IL,"796,264","8,691","14,216",100
MN,"1,535,427","1,543","13,056",9
MT,"3,965",11,60,2
DC,"17,891",99,654,2
NE,"39,466",422,439,3
WY,0,0,0,0
IL,"201,727","1,834","7,905",24
IL,"1,720,345","7,359","28,877",45
CA,"10,796,918",0,"93,056",0
LA,"451,476",803,"10,273",9
WI,"831,493","3,213","8,989",19
KY,"1,451,732","2,833","16,621",9
MT,"275,113",0,"3,381",0
ID,71,20,0,0
NE,"353,056","3,533","3,416",43
FSM,0,0,0,0
MD,"346,559","1,939","7,444",37
OR,"62,175","1,302",812,4
MO,"32,300","1,346","1,159",5
NC,"843,346","2,672","12,215",39
MT,967,48,22,0
RI,"336,306",287,"3,425",0
DC,"1,778",118,47,9
VI,"22,135",0,122,0
DE,"1,611",134,44,8
DE,"12,449",118,582,3
LA,"472,304",641,"10,595",3
NJ,"1,644,839","21,743","29,073",17
VT,"107,318",166,585,1
CA,"1,198,934","15,614","19,189",35
MT,"114,576",68,"1,686",3
MO,"596,914",463,"9,062",56
LA,"32,728",612,"2,381",34
OR,"201,260",256,"2,668",2
KY,"1,324,635",457,"15,848",20
ME,"50,780",340,743,5
OR,"697,775","1,058","6,743",34
NH,"77,764",301,"1,191",4
MT,"122,748",215,"1,757",1
DC,"137,603",717,"1,332",-1
ME,"143,446",641,"1,441",0
CT,"88,645",0,"4,737",0
FSM,21,0,0,0
DC,"151,652",647,"1,347",0
NJ,"1,203,755","1,504","28,011",0
SC,"598,155",190,"9,841",1
NE,"26,695",276,313,0
VT,"122,501",241,635,5
NV,"572,769","6,858","8,627",21
MI,"1,032,520","1,298","21,304",6
CT,"346,154",206,"8,208",4
LA,"1,166,487",485,"16,913",26
OR,"208,136",138,"2,763",0
DC,0,0,0,0
NJ,"1,065,736","1,677","26,721",6
WI,"1,754,646","4,321","14,859",4
DE,"302,522",135,"3,042",0
FSM,675,0,0,0
MT,"265,797",620,"3,172",10
NV,"5,766",103,293,7
WI,"928,290","7,069","9,706",27
WY,"164,456",0,"1,834",0
NC,"2,796,554","3,119","25,403",10
WY,"155,815",0,"1,769",0
OR,"151,713",456,"2,149",6
